,Colour,Memory,RAM,Battery_,AI Lens,Mobile Height,Processor_,Prize,Price Category,battery_efficiency,Rear_Camera_MP,Front_Camera_MP,price_per_ram,price_per_memory,Brand,Series,Model_Number
0,159,64.0,4.0,4871.587800369686,0.0,16.76,113,7299.0,5K-10K,1217.8969500924215,13,5,1824.75,114.046875,4,62,12.0
1,20,64.0,4.0,4871.587800369686,0.0,16.76,113,7299.0,5K-10K,1217.8969500924215,13,5,1824.75,114.046875,4,62,12.0
2,149,128.0,8.0,5000.0,0.0,16.64,75,11999.0,10K-15K,625.0,50,16,1499.875,93.7421875,6,38,12.0
3,201,32.0,2.0,5000.0,0.0,16.56,56,5649.0,5K-10K,2500.0,8,5,2824.5,176.53125,11,29,12.0
4,130,128.0,8.0,5000.0,0.0,16.76,14,8999.0,5K-10K,625.0,50,5,1124.875,70.3046875,4,43,12.0
5,88,128.0,8.0,5000.0,0.0,16.76,14,8999.0,5K-10K,625.0,50,5,1124.875,70.3046875,4,43,12.0
6,151,128.0,8.0,5000.0,0.0,16.76,14,8999.0,5K-10K,625.0,50,5,1124.875,70.3046875,4,43,12.0
7,65,128.0,8.0,5000.0,0.0,16.76,14,8999.0,5K-10K,625.0,50,5,1124.875,70.3046875,4,43,12.0
8,65,64.0,4.0,5000.0,0.0,16.76,14,7999.0,5K-10K,1250.0,50,5,1999.75,124.984375,4,43,12.0
9,151,64.0,4.0,5000.0,0.0,16.76,14,7999.0,5K-10K,1250.0,50,5,1999.75,124.984375,4,43,12.0
10,210,64.0,4.0,4871.587800369686,0.0,17.02,75,9499.0,5K-10K,1217.8969500924215,50,5,2374.75,148.421875,12,1,12.0
11,88,64.0,4.0,5000.0,0.0,16.76,14,7999.0,5K-10K,1250.0,50,5,1999.75,124.984375,4,43,12.0
12,71,64.0,4.0,4871.587800369686,0.0,16.76,113,7299.0,5K-10K,1217.8969500924215,13,5,1824.75,114.046875,4,62,12.0
13,267,128.0,4.0,4871.587800369686,0.0,16.76,12,10699.0,10K-15K,1217.8969500924215,50,8,2674.75,83.5859375,14,42,12.0
14,169,64.0,4.0,5000.0,0.0,16.51,65,7299.0,5K-10K,1250.0,13,5,1824.75,114.046875,14,42,12.0
15,201,64.0,4.0,5000.0,0.0,16.56,19,6999.0,5K-10K,1250.0,8,5,1749.75,109.359375,11,30,12.0
16,130,64.0,4.0,5000.0,0.0,16.76,14,7999.0,5K-10K,1250.0,50,5,1999.75,124.984375,4,43,12.0
17,186,64.0,4.0,5000.0,0.0,16.56,19,6999.0,5K-10K,1250.0,8,5,1749.75,109.359375,11,30,12.0
18,48,32.0,2.0,5000.0,0.0,16.56,56,5649.0,5K-10K,2500.0,8,5,2824.5,176.53125,11,29,12.0
19,46,64.0,4.0,5000.0,0.0,16.51,114,7299.0,5K-10K,1250.0,13,5,1824.75,114.046875,6,88,12.0
